Sensor X0,Motor Y0,Sensor X1,Motor Y1,
-0.0405647,-0.0405424,0.0951265,0.0948406,0.135554,0.13473,0.0272107,0.027204,-0.117906,-0.117363,-0.226193,-0.222413,-0.325409,-0.31439,-0.425452,-0.401514,-0.251837,-0.246644,-0.242765,-0.238105,-0.204313,-0.201517,-0.160251,-0.158894,-0.160819,-0.159446,-0.221691,-0.21813,-0.210106,-0.207068,-0.236999,-0.23266,-0.297665,-0.289174,-0.196857,-0.194353,-0.323426,-0.312602,-0.304803,-0.295702,-0.388038,-0.369667,-0.252598,-0.247359,-0.378108,-0.361063,-0.373752,-0.357269,-0.435786,-0.410145,-0.289483,-0.281658,-0.351659,-0.337846,-0.375284,-0.358605,-0.354844,-0.340664,-0.331183,-0.319583,-0.338292,-0.325951,-0.196708,-0.19421,-0.258922,-0.253287,-0.211293,-0.208204,-0.151846,-0.150689,-0.168658,-0.167077,-0.0683164,-0.0682103,-0.14952,-0.148415,-0.193307,-0.190935,-0.0539946,-0.0539422,-0.00675096,-0.00675086,-0.0248829,-0.0248777,-0.0553467,-0.0552903,-2.47436e-05,-2.47436e-05,-0.00527755,-0.0052775,0.129798,0.129074,0.0233722,0.0233679,0.0656921,0.0655978,0.101477,0.10113,0.18693,0.184783,0.168893,0.167305,0.0735654,0.073433,-0.0735654,-0.00077187,
0.0903661,0.0901209,-0.0735654,-0.00077187,
-0.00899697,-0.00901631,-0.0735654,-0.00077187,
-0.128065,-0.127694,-0.0735654,-0.00077187,
-0.129061,-0.128296,-0.0735654,-0.00077187,
0.0171299,0.017551,-0.0735654,-0.00077187,
0.0728845,0.074064,-0.0735654,-0.00077187,
0.148995,0.149347,-0.0735654,-0.00077187,
0.0875953,0.088146,-0.0735654,-0.00077187,
0.113493,0.113797,-0.0735654,-0.00077187,
0.00951375,0.00979587,-0.0735654,-0.00077187,
-0.102562,-0.102738,-0.0735654,-0.00077187,
-0.203508,-0.20217,-0.0735654,-0.00077187,
-0.329811,-0.320797,-0.0735654,-0.00077187,
-0.455038,-0.429446,-0.0735654,-0.00077187,
-0.526583,-0.485415,-0.0735654,-0.00077187,
-0.396076,-0.377071,-0.0735654,-0.00077187,
-0.330102,-0.316822,-0.0735654,-0.00077187,
-0.274984,-0.264761,-0.0735654,-0.00077187,
-0.386717,-0.36677,-0.0735654,-0.00077187,
-0.360707,-0.343027,-0.0735654,-0.00077187,
-0.472055,-0.439219,-0.0735654,-0.00077187,
-0.450792,-0.419921,-0.0735654,-0.00077187,
-0.397926,-0.374242,-0.0735654,-0.00077187,
-0.508661,-0.46741,-0.0735654,-0.00077187,
-0.317412,-0.30149,-0.0735654,-0.00077187,
-0.184503,-0.173452,-0.0735654,-0.00077187,
-0.0241119,-0.0119459,-0.0735654,-0.00077187,
0.099216,0.113659,-0.0735654,-0.00077187,
-0.0350923,-0.0226506,-0.0735654,-0.00077187,
0.00551703,0.0195011,-0.0735654,-0.00077187,
-0.0815595,-0.0698406,-0.0735654,-0.00077187,
0.0540675,0.0696598,-0.0735654,-0.00077187,
0.0273884,0.0417289,-0.0735654,-0.00077187,
0.0655579,0.0808648,-0.0735654,-0.00077187,
0.137081,0.153135,-0.0735654,-0.00077187,
0.162377,0.178969,-0.0735654,-0.00077187,
0.120257,0.136982,-0.0735654,-0.00077187,
0.160073,0.177337,-0.0735654,-0.00077187,
0.25168,0.26708,-0.0735654,-0.00077187,
0.127706,0.144685,-0.0735654,-0.00077187,
0.244657,0.260368,-0.0735654,-0.00077187,
0.372349,0.378832,-0.0735654,-0.00077187,
0.522663,0.503609,-0.0735654,-0.00077187,
0.624619,0.577094,-0.0735654,-0.00077187,
0.627158,0.576976,-0.0735654,-0.00077187,
0.476167,0.462594,-0.0735654,-0.00077187,
0.579279,0.540431,-0.0735654,-0.00077187,
0.585343,0.542303,-0.0735654,-0.00077187,
